Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
1762435483815396,-135.000000,-29.329269,8.109756,0.995605,0.095703,0.105957
1762435483825508,-167.743912,5.060976,13.597561,0.992676,0.093262,0.100586
1762435483835621,-114.756104,-0.731707,5.243903,0.991699,0.087402,0.096680
1762435483845734,-68.292686,-13.231708,0.243902,0.992188,0.087891,0.092773
1762435483855845,-100.121956,3.902439,6.768293,0.993164,0.089355,0.090332
1762435483865957,-112.134148,12.195122,18.841463,0.994141,0.083008,0.088867
1762435483876070,-62.804878,1.890244,14.817074,0.991699,0.073730,0.085938
1762435483886182,1.097561,-3.475610,6.890244,0.992676,0.069336,0.085449
1762435483896294,16.036585,3.109756,14.939025,0.992188,0.068848,0.086426
1762435483906406,-30.304878,-8.780488,19.817074,0.996094,0.066406,0.087891
1762435483916519,-20.365854,-27.865854,17.987804,0.996094,0.062500,0.087891
1762435483926631,63.719513,5.243903,15.914635,0.997070,0.059082,0.086426
1762435483936744,112.926834,31.219513,15.182927,0.997070,0.058105,0.087402
1762435483946856,77.195122,16.646341,12.987805,0.996094,0.061523,0.088379
1762435483956967,33.719513,3.231707,17.134148,0.994141,0.064453,0.089844
1762435483967080,20.426830,27.926830,15.853659,0.993164,0.063477,0.088867
1762435483977192,46.524391,24.451220,10.121951,0.996094,0.060547,0.090820
1762435483987305,84.756096,26.280489,9.573171,0.998047,0.061035,0.091309
1762435483997417,75.975609,60.060978,9.634147,1.000000,0.063477,0.095215
1762435484007529,46.951221,41.707317,10.304878,0.999512,0.062500,0.099121
1762435484017642,54.146343,23.292683,4.817073,0.998047,0.060547,0.101562
1762435484027754,73.414635,22.500000,-2.378049,0.997559,0.060059,0.103027
1762435484037866,77.378052,41.158539,-0.853659,0.997559,0.060059,0.102539
1762435484047980,58.963417,25.121952,1.829268,0.999512,0.060547,0.100586
1762435484058091,64.878052,35.548782,-1.219512,0.995117,0.061035,0.098145
1762435484068203,75.060974,44.817074,-1.097561,0.994629,0.059570,0.095703
1762435484078315,78.414635,16.097561,-2.743902,0.993164,0.060547,0.094727
1762435484088429,53.780491,14.573171,-7.134147,0.993164,0.063477,0.093750
1762435484098540,24.329269,24.024391,1.158537,0.995605,0.063477,0.095215
1762435484108652,74.085365,32.987804,-3.536585,0.994141,0.061523,0.096191
1762435484118764,96.280487,9.451220,-13.719513,0.997559,0.061523,0.099609
1762435484128877,84.512199,29.085367,-7.804878,0.995117,0.066406,0.100098
1762435484138989,39.390244,29.634148,-5.975610,0.996094,0.067383,0.102539
